artist,title
justin bieber,no pressure
ramones,surfin' bird
dan seals,three time loser
"10,000 maniacs",cherry tree
paul hardcastle,just for money
alice in chains,hate to feel
trisha yearwood,you say you will
randy travis,softly and tenderly
special ed,i got it made (re-recorded/remasterd)
kansas,relentless
glen campbell,(sittin' on) the dock of the bay
ty segall,goodbye bread
debbie davies,life of the party
blind boy fuller,i crave my pig meat
dire straits,so far away
queen,you're my best friend
sonny boy williamson ii,checkin' up on my baby
sly & robbie,roxanne
fall out boy,"champagne for my real friends, real pain for my sham friends"
dean martin,a million and one
oi va voi,yesterday's mistakes
black uhuru,guess who's coming to dinner
deep purple,highway star
iron maiden,drifter
faith hill,life's too short to love like that
lavern baker,"touch me, lord jesus"
floetry,say yes
the civil wars,barton hollow
duran duran,my own way
"royce da 5'9""",street hop 2010
the allman brothers band,two rights
joya landis,moonlight lover
george benson,love all the hurt away
soja,shadow
clay walker,you're my witness
gregory isaacs,night nurse
nina simone,the black swan
masaki matsubara,silly crush
the drifters,moonlight bay
special efx,two hearts
chadwick stokes,camilo
eddie kendricks,shoeshine boy
john hartford,lorena
khalid,vertigo
ted nugent,tooth fang & claw
j. roddy walston & the business,brave man's death
ziggy marley & the melody makers,all day all night
t. rex,broken hearted blues
mark chesnutt,"woman, sensuous woman"
gentle giant,experience
shaggy,what's love (feat. akon)
hasil adkins,get outta my car
girl in red,summer depression
of monsters and men,little talks
the youngbloods,that's how strong my love is
morphine,radar
five for fighting,100 years
etta james,trust in me
ini kamoze,shocking out
merle haggard,the legend of bonnie and clyde
chris ledoux,(ghost) riders in the sky
helloween,i want out
grizfolk,waiting for you
bleu edmondson,$50 dollars and a flask of crown
john holt,can't use me
deap vally,walk of shame
moon taxi,all day all night
vektor,tetrastructural minds
tool,opiate
kings of leon,four kicks
krizz kaliko,way out
flamin' groovies,sometimes
j.j. cale,soulin
easton corbin,i can't love you back
iron butterfly,possession
nitty gritty dirt band,baby's got a hold on me
chuck mangione,journey to a rainbow
the skyliners,since i don't have you
gentle giant,a reunion
quincy jones,takin it to the streets
ray price,take these chains from my heart
dirty heads,we will rise
alt-j,matilda
johnny cash,i see a darkness
christafari,"10,000 reasons (bless the lord) [feat. avion blackman]"
built to spill,distopian dream girl
afu-ra,hip hop kid
nappy roots,my ride
kapena,reggae train
fleetwood mac,you make loving fun
count basic,joy and pain
the cars,jacki
roy buchanan,sweet dreams
erroll garner,penthouse serenade
the impressions,falling in love with you
chet atkins,sukiyaki
willie nelson,night life
jimmy cliff,let's seize the time
michael brecker,the nearness of you
ac/dc,flick of the switch
delinquent habits,tres delinquentes
robbie robertson,sonny got caught in the moonlight
queen,too much love will kill you
dennis brown,get myself together
the beatles,long tall sally
dennis brown,going to a ball
new found glory,hit or miss
poco,under the gun
meshuggah,born in dissonance
jj grey & mofro,everything good is bad
ricky van shelton,after the lights go out
george shearing,guilty
john michael montgomery,heaven sent me you
red hot chili peppers,parallel universe
connie smith,i thought of you
foreigner,i don't want to live without you
the black keys,act nice and gentle
kenny g,joy to the world
ry cooder,crow black chicken
eddie money,endless nights
kalimba,no puedo dejarte de amar (with jesús navarro)
demarco,she cant wait
thievery corporation,firelight (feat. lou lou ghelichkhani)
the damned,alone again or
groove armada,chicago
the clovers,love love love
ty segall,the singer
the alan parsons project,time
bon iver,"minnesota, wi"
al green,i wish you were here
perry como,feelings
allen toussaint,goin' down
graham nash,you'll never be the same
meshuggah,electric red
bad company,if i'm sleeping
ohio players,paint me
del shannon,cry myself to sleep
brother ali,forest whitiker
phantogram,when i'm small
johnny paycheck,song and dance man
st germain,forget it
elvis costello,watching the detectives
george benson,you are the love of my life
thieving birds,"hey, leigh"
jim croce,a good time man like me ain't got no business [singin' the blues]
inner wave,1 4 2
"earth, wind & fire",mom
ricky skaggs,don't let your sweet love die
alpha blondy,cocody rock
maroon 5,won't go home without you
white zombie,super charger heaven
the ethiopians,i'm gonna be free
mabel,mad love
eddie money,hard life
the whispers,is it good to you
david allan coe,would you be my lady
steel pulse,wild goose chase
donovan,peregrine
b.b. king,my guitar sings the blues
ub40,folitician
john cale,gideon's bible
noah and the whale,blue skies
stryper,calling on you
alec benjamin,if i killed someone for you
grant green,down here on the ground
david ball,blowin' smoke
michael jackson,you are not alone
barbara mandrell,i wish that i could fall in love today
twenty88,push it
waylon jennings,(sittin' on) the dock of the bay
donna taggart,jealous of the angels
galactic,karate
joe cocker,what becomes of the broken-hearted
38 special,just a little love
lincoln durham,reckoning lament
screeching weasel,hey suburbia
tito rodriguez,cuando cuando
ringo starr,only you (and you alone)
meshuggah,dehumanization
mel mcdaniel,cold hard facts of love
don gibson,known only to him
jj grey & mofro,write a letter
the offspring,million miles away
soja,more
andy williams,the impossible dream (the quest)
johnny burnette,dream lover
dexter gordon,you've changed
the outlaws,dregs fall to the wicked
jungle brothers,j. beez comin' through
jean shepard,shadows on the wall
michael bolton,when a man loves a woman
peter tosh,apartheid
kenny loggins,heartlight
easton corbin,that's gonna leave a memory
hunny,july
elephant man,opera wine
george strait,two more wishes
brett eldredge,waited too long
alabama,love in the first degree
king krule,out getting ribs
lucky dube,teach the world
mary j. blige,my life
ufo,too much of nothing
lighter shade of brown,hip hop locos
kenny rogers,tennessee bottle
joe liggins,the honeydripper
sonny boy williamson ii,bye bye bird
lamb,lusty
the black angels,true believers
t. rex,diamond meadows
the modern lovers,96 tears
willie nelson,who put all my ex's in texas
nina simone,if i should lose you
two door cinema club,handshake
alice cooper,i'm alive (that was the day my dead pet returned to save my life)
johnny mathis,stairway to the sea (scalinatella)
bill haley & his comets,(we're gonna) rock around the clock
katy perry,swish swish
sublime,s.t.p.
r.l. burnside,wish i was in heaven sitting down
slayer,necrophobic
alice cooper,former lee warmer
eugene mcdaniels,the parasite (for buffy)
ella fitzgerald,between the devil and the deep blue sea
cage the elephant,judas
fat freddy's drop,dark days
nat king cole,when you walked by
jack jones,toys in the attic
elkie brooks,fool if you think it's over
bob dylan,she belongs to me
aretha franklin,you'll lose a good thing
joe jackson,breaking us in two
lesley gore,it's gotta be you
unified highway,distraction (feat. garrett douglas)
the mavericks,ain't found nobody
misfits,all hell breaks loose
al jarreau,teach me tonight
herbie hancock,sun touch
the j. geils band,make up your mind
fleet foxes,mykonos
emmylou harris,together again
johnny mathis,i'll be easy to find
blake shelton,100 miles
stick figure,world on fire (with slightly stoopid)
hank snow,blue for old hawaii
june christy,this time the dreams on me
america,survival
richard thompson,we sing hallelujah
lana del rey,million dollar man
billie eilish,copycat
donna summer,i do believe (i fell in love)
rae & christian,spellbound
smif-n-wessun,stand strong
bob marley & the wailers,"get up, stand up"
john mayall & the bluesbreakers,the stumble
deep purple,the gypsy
fantastic negrito,nobody makes money
kenny wayne shepherd,alive
mark chesnutt,it's not over (if i'm not over you)
eddie cochran,one kiss
doris day,april in paris
george jones,the ceremony
judee sill,soldier of the heart
loon,this aint funny
minnie riperton,you take my breath away
soundgarden,limo wreck
gregg allman,evidence of love
gene clark,with tomorrow
john fogerty,lookin' out my back door
genesis,mama
electric light orchestra,eldorado finale
xscape,who can i run to
ulver,lost in moments
black lips,it feels alright
the righteous brothers,(you're my) soul and inspiration
lester flatt,wait for the sunshine
dan seals,headin' west
oscar peterson,i was doing all right
linval thompson,jah jah is the conqueror
willie nelson,medley
george strait,is it already time
kasabian,shoot the runner
radiohead,sulk
earl thomas conley,i have loved you girl (but not like this before)
confederate railroad,summer in dixie
mavado,messiah
eli young band,home
miri ben-ari,miss melody
parov stelar trio,doctor foo
willie nelson,in the jailhouse now
josh turner,south carolina low country
ratt,lack of communication
joe bataan,call my name
imagine dragons,my fault
bombino,amidinine
gene vincent & his blue caps,i sure miss you
muse,butterflies and hurricanes
wailing souls,baby come rock
xavier rudd,guku
guru's jazzmatazz,keep your worries
phish,nothing
frankie valli,in my eyes
cortex,devil's dance
madonna,open your heart
orchestral manoeuvres in the dark,so in love
young thug,digits
ranking joe,spread propaganga
bone thugs-n-harmony,cause i'm bone bone
5 seconds of summer,ghost of you
gary moore,with love (remember)
shania twain,home ain't where his heart is (anymore)
misfits,ghouls night out
"harry connick, jr.",a blessing and a curse
eddie calvert,cherry pink and apple blossom white
sugarland,fly away
lauv,enemies
kanye west,good life
wayne wonder,still say yes
willie nelson,i walk alone
the notorious b.i.g.,ten crack commandments
freddie king,living on the highway
the gladiators,on the other side
new edition,delicious
common,go!
luke bryan,like we ain't ever
the fixx,the sign of fire
kacey musgraves,high time
311,homebrew
the moody blues,lunch break: peak hour
old dominion,shut me up
procol harum,conquistador
lcd soundsystem,i can change
the replacements,never mind
gladys knight & the pips,take me in your arms and love me
gabriel garzón-montano,golden wings (instrumental)
red,not alone
limp bizkit,my way
polkadot cadaver,last call in jonestown
alabama,keepin' up
blood red shoes,it's getting boring by the sea
dorothy,raise hell
daya,hide away
deep purple,love help me
michael w. smith,you are holy (prince of peace)
jay soto,holding on
tina turner,typical male
pretenders,i go to sleep
j.j. cale,change your mind
staind,suffer
tammy wynette,talkin' to myself again
bob dylan,on the road again
mel tormé,too close for comfort
the ethiopians,things a get bad to worse
misfits,earth a.d.
conway twitty,my adobe hacienda
eels,fresh feeling
chase rice,whisper
mike bowling,call me gone
joe sample,fever
john mayall & the bluesbreakers,they call it stormy monday
alice francis,shoot him down
girls aloud,jump
albert collins,iceman
chubby checker,the stroll
johnny cash,tennessee flat top box
tears for fears,everybody wants to rule the world
prince far i,suru-lere
michael franti & spearhead,listener supported
siouxsie and the banshees,love in a void
tribal seeds,"144,000"
michael henderson,riding
ballyhoo!,saw her standing
blake shelton,home (feat. michael bublé)
brett young,chapters
the killers,human
bob james,fugitive life
ugly duckling,einstein do it
quiet riot,metal health (bang your head)
ice cube,gangsta's fairytale 2
the kinks,till the end of the day
the cranberries,liar
the black keys,the flame
johnny cash,after the ball
the fleetwoods,outside my window
ted nugent,can't stop me now
wynton marsalis,the song is you
pepper,use me
billy walker,cattle call
cyne,maintain
chuck berry,trick or treat
pet shop boys,so hard
stoney larue,empty glass
todd rundgren,breathless
rise against,the good left undone
gorillaz,re-hash
the abyssinians,jah loves
basement jaxx,where's your head at
john michael montgomery,dream on texas ladies
macka b,peace cup
stonewall jackson,there's a limit
gordon mote,mercy walked in
sublime with rome,sirens (feat. dirty heads)
ella fitzgerald,here in my arms
ramones,"here today, gone tomorrow"
orleans,the bum
yoko ono,beautiful boys
angels & airwaves,sirens
dirt rock empire,dirt road dollars
83,83
weezer,beverly hills
the dovells,the jitterbug
the shins,the past and pending
seals and crofts,i'll play for you
nitty gritty dirt band,keep on the sunny side
three days grace,home
ray charles,don't let the sun catch you cryin'
sara bareilles,send me the moon
andy williams,we've only just begun
willie nelson,the pilgrim: chapter 33
marty robbins,tomorrow you'll be gone
george benson,this masquerade
wailing souls,pack up
chick webb,stompin' at the savoy
the growlers,black memories
no doubt,move on
reckless kelly,good luck & true love
slayer,spirit in black
morgan heritage,down by the river
nat king cole,serenata
gary allan,learning to live with me
radio citizen,everything (feat. bajka)
eric carmen,never gonna fall in love again
carly simon,as time goes by
bullet for my valentine,scream aim fire
the wailers,hallelujah time
the wood brothers,this is it
ludacris,splash waterfalls
selena gomez,kill em with kindness
capital letters,president amin
ronnie milsap,don't your mem'ry ever sleep at night
paul simon,april come she will
the police,king of pain
pretenders,up the neck
junior m.a.f.i.a.,players anthem
chet baker,deep in a dream
avril lavigne,wish you were here
deap vally,bring it on
can't hang,just for you
trapt,bring it
jake bugg,broken
ziggy marley & the melody makers,what's true
gyptian,is there a place
merle haggard,sing me back home
kankick,the finer things
shawn mendes,never be alone
aretha franklin,sweet lover
khalid,keep me
grace jones,pride
culture,behold
neil sedaka,no vacancy
311,two drops in the ocean
nitty gritty dirt band,dancing to the beat of a broken heart
foxy brown,ill na na
dusty springfield,take another little piece of my heart
steve perry,foolish heart
alan jackson,i want to stroll over heaven with you
evil ebenezer,get mine
steve kuhn,the meaning of love
pink floyd,the dogs of war
steve cole,from the start
desmond cheese,gilbert's grove
joan baez,amazing grace
snoop dogg,gin and juice (feat. dat nigga daz)
oscar peterson,it's de-lovely
black rob,thug story
louis armstrong,all of me
christina aguilera,reflection
soja,911
bombay bicycle club,"lights out, words gone"
hank snow,in the blue canadian rockies
bodeans,still the night
wolfmother,white unicorn
dave koz,got to get you into my life
big l,mvp
dierks bentley,the heaven i'm headed to
ry cooder,yellow roses
jamie cullum,give me the simple life
josh groban,to where you are
diamond rio,imagine that
positive k,i'm not havin’ it (re-recorded / remastered)
jefferson airplane,today
sashamon,justice
jacob miller,all night till day light
dispatch,here we go (live)
50 cent,if i can't
lesley gore,run bobby run
matt maher,christ is risen
lonnie liston smith,a lonely way to be
guns n' roses,attitude
walter wanderley,angelique
eddie rabbitt,i don't know where to start
the chiffons,he's so fine
oscar peterson,in a mellow tone
ella fitzgerald,it's a lovely day today
miia,dynasty
clint black,straight from the factory
yes,perpetual change
jungle brothers,jimmy's bonus beat
nina simone,go limp
stone senses,regret
bob mould,wishing well
sugar,hoover dam
cory morrow,beat of your heart
butthole surfers,goofy's concern
aaron watson,trying like the devil
carla thomas,pick up the pieces
imagine dragons,yesterday
willie nelson,until it's time for you to go
michael mcdonald,i can let go now
thin lizzy,angel of death
ohio players,my life
delbert mcclinton,if i hock my guitar (feat. self-made men)
betty carter,let's fall in love
devin townsend,genesis
marlena shaw,go away little boy
ricky nelson,am i blue?
blackhawk,i'm not strong enough to say no
gene clark,from a silver phial
all them witches,internet
busta rhymes,why we die (feat. dmx and jay z)
tool,hush
ll cool j,dear hip hop
the dear hunter,whisper
foresta,believe
insane clown posse,how many times?
steppenwolf,tighten up your wig
big kuntry king,yeah [i'm on it]
charlie haden,this is not america
frank zappa,the air
passion,in christ alone
johnny cash,if i had a hammer
tommy bolin,dreamer
dean martin,all i do is dream of you
jonas brothers,goodnight and goodbye
alice cooper,cold ethyl
johnny cash,doin' my time
ziggy marley & the melody makers,love is the only law
benjamin francis leftwich,atlas hands
helen merrill,you'd be so nice to come home to
marlena shaw,liberation conversation
parachute,she is love
real estate,it's real
wilco,hummingbird
anders osborne,black tar
nightmares on wax,the sweetest
ricky nelson,that's all she wrote
johnny winter,broke and lonely
ella mae morse,pig foot pete
rick springfield,state of the heart
ray charles,deed i do
"harry connick, jr.",can't help falling in love with you
arctic monkeys,who the fuck are arctic monkeys?
nancy sinatra,"so long, babe"
madeleine peyroux,weary blues
brad paisley,part two
dave davies,reveal yourself
gary allan,cryin' for nothin'
unified highway,"stand proud (feat. shana halligan, tahir panton & keznamdi)"
the supremes,there's no stopping us now
jeezy,i luv it
gary moore,shapes of things to come
the jeff healey band,let it all go
jon bellion,overwhelming
bad religion,pity
the king khan & bbq show,animal party
jim reeves,i won't forget you
jefferson airplane,two heads
pat green,nightmare
clutch,a shogun named marcus
blink-182,sometimes
roy orbison,a love so beautiful
johnny rivers,if i were a carpenter
whitney houston,something in common
porter wagoner,a satisfied mind
cab calloway,blues in the night
john mayer,love soon
l7,shitlist
kirko bangz,what yo name iz?
drake,unforgettable
paul davis,i go crazy
cheap trick,on the radio
duke ellington,supercalifragilisticexpialidocious
"crosby, stills, nash & young",long time gone
kenny g,you make me believe
sons of the pioneers,(ghost) riders in the sky
the brian jonestown massacre,nevertheless
conway twitty,after the fire is gone
odetta,joshua
bad religion,stranger than fiction
shwayze,corona and lime
zayn,good years
louis jordan & his tympany five,beans and cornbread
phish,no dogs allowed
jerry garcia,i second that emotion
the dells,there is
"""weird al"" yankovic",theme from rocky xiii
drake,over
jethro tull,beltane
jimmy reed,you're something else
lion,the transformers theme
klaatu,calling occupants of interplanetary craft
sister rosetta tharpe,rock me
al green,let's stay together
lee ann womack,after i fall
reo speedwagon,out of season
gang of four,i love a man in a uniform
bodeans,dreams
uncle kracker,drift away
ten years after,the stomp
ella fitzgerald,so in love
don gibson,(i'd be) a legend in my time
band of horses,is there a ghost
bob dylan,let it be me
julie london,fools rush in
cheap trick,mandocello
zero 7,mono
porter wagoner,cotton fields
maze,change on our ways
my bloody valentine,lose my breath
johnny cash,remember the alamo
touré kunda,toure kunda
selena gomez,bad liar
david allan coe,little orphan annie
the subdudes,push and shove
the wailers,no sympathy
george strait,lead on
echo & the bunnymen,crystal days
mukesh,raat andheri door savera
welshly arms,hold on i'm coming
august greene,optimistic
dem franchize boyz,"lean wit it, rock wit it"
elton john,never too late
supreme beings of leisure,ain't got nothin'
yoko ono,give me something
neal mccoy,new old songs
jefferson starship,just the same
thank you scientist,make like a tree (get out)
mississippi john hurt,you are my sunshine
the felice brothers,frankie's gun!
glass animals,pork soda
"emerson, lake & palmer",promenade
the guess who,laughing
boyzone,love me for a reason
josefus,crazy man
warren zevon,bed of coals
willie nelson,moon river
zulú hip hop jam,mil hojas
four tops,(it's the way) nature planned it
roy orbison,house without windows
ella fitzgerald,little jazz
culture,i'm alone in the wilderness
kingdom come,get it on
youngbloodz,chop chop
the beach boys,gettin' hungry (mono)
deep purple,black night
boney james,here she comes
inxs,by my side
mark wills,right here
morgan delt,some sunsick day
george jones,lonely christmas call
adam sanders,sippin' on the good times
louis armstrong,'bout time
john williamson,rip rip woodchip
elvis presley,tonight is so right for love
gil scott-heron,storm music
grand funk railroad,mr. limousine driver
charley pride,the day the world stood still
montgomery gentry,long line of losers
james,getting away with it (all messed up)
trina,100%
parov stelar,mambo rap
steve wariner,some fools never learn
lukas nelson and promise of the real,the awakening
trent tomlinson,i was gonna leave tomorrow anyway
jack greene,statue of a fool
tool,eulogy
the police,every breath you take
joan armatrading,like fire
ray price,i'll sail my ship alone
sabrina carpenter,thumbs
new kids on the block,i'll be loving you (forever)
the grace thrillers,tell me the story
owl city,verge
get scared,sarcasm
blues saraceno,mercy train
ella fitzgerald,sweet and lovely
swiss,she don't want me love
the faceless,autotheist movement ii: emancipate
george benson,along comes mary
willie nelson,heartbreak hotel
bing crosby,white christmas
steel pulse,cry cry blood
godsmack,under your scars
gavin rossdale,love remains the same
lil wayne,this is the carter
faith no more,from out of nowhere
the kingston trio,with her head tucked underneath her arm
widespread panic,ain't life grand
aretha franklin,april fools
the gladiators,after you
willie clayton,running out of lies
50 cent,get in my car
tommy dorsey,song of india
dashboard confessional,the places you have come to fear the most
the green,striking up a love
dolly parton,one of those days
the byrds,i come and stand at every door
nicki minaj,pound the alarm
ozzy osbourne,shot in the dark
breaking benjamin,evil angel
granger smith,don't listen to the radio
robert plant,your long journey
vern gosdin,you never cross my mind
flyleaf,again
wade bowen,turn on the lights
ziggy marley,give it away
dwight yoakam,it only hurts when i cry
cage the elephant,spiderhead
dj cam quartet,saint germain
carl smith,time changes everything
china crisis,the highest high
dave van ronk,"hang me, oh hang me"
lil wayne,she will
jonny lang,save yourself
george jones,it's a sin
hank locklin,send me the pillow you dream on
nat king cole,stella by starlight
gene vincent,blue eyes crying in the rain
michael bublé,feeling good
all them witches,elk.blood.heart
maxi priest,human work of art
dottie west,what are we doin' in love!
dolly parton,the bargain store
you me at six,stay with me
conway twitty,let the good times roll
the von bondies,crawl through the darkness
x,my soul cries your name
candlebox,change
u-roy,peace and love
hank williams,wedding bells
cage the elephant,japanese buffalo
rush,witch hunt
xavier rudd,the 12th of september
queens of the stone age,do it again
buddy holly,valley of tears
prince,pop life
the bellamy brothers,lovers live longer
michael jackson,fly away
bon iver,calgary
stick figure,ring the alarm
guns n' roses,anything goes
merle haggard,if you hated me
the be good tanyas,for the turnstiles
travis scott,butterfly effect
the cure,hot hot hot!!!
lucinda williams,one night stand
one drop,1492
usher,love in this club (feat. young jeezy)
moneybagg yo,lately
george strait,i'll always be loving you
dion,dream lover
"earth, wind & fire",love music
steppenwolf,power play
ella fitzgerald,all of me
bad company,fame and fortune
j.b. lenoir,feelin' good
joe cocker,up where we belong
dean martin,if you were the only girl (in the world)
"albert hammond, jr.",coming to getcha
little feat,voices on the wind
the byrds,blue canadian rockies
ac/dc,inject the venom
kenny rogers,through the years
buzzcocks,why can't i touch it?
megadeth,promises
ella mai,shot clock
bread,london bridge
nina simone,pirate jenny
r.e.m.,e-bow the letter
mel waiters,half pint
stone sour,get inside
the kinks,too much on my mind
toots & the maytals,pressure drop
roy ayers ubiquity,"hey, uh, what you say come on"
fred neil,dolphins
t. rex,raw ramp
tony bennett,just in time
wings,big barn bed
boz scaggs,breakdown dead ahead
johnny cash,life goes on
bob dylan,wedding song
john surman,autumn nocturne
eddie money,leave it to me
the subdudes,one time
stampeders,sweet city woman
aretha franklin,if ever i would leave you
the cowsills,the rain the park and other things
loverboy,gangs in the street
faith hill,this kiss
guns n' roses,reckless life
t. rex,pain and love
greta van fleet,brave new world
g. love & special sauce,i-76
patsy cline,just out of reach (of my two open arms)
